name,world_cups,total_matches,goals,country
Miroslav Klose,4,24,16,Germany
Ronaldo Nazario,4,19,15,Brazil
Gerd Muller,2,13,14,Germany
Just Fontaine,1,6,13,France
Lionel Messi,5,26,13,Argentina
Pelé,4,14,12,Brazil
Kylian Mbappé,2,14,12,France
Sándor Kocsis,1,5,11,Hungary
