player_name,world_cups,total_matches,champion,goals
Miroslav Klose,4,24,1,16
Ronaldo Nazario,4,19,2,15
Gerd Muller,2,13,1,14
Just Fontaine,1,6,0,13
Lionel Messi,5,26,1,13
Pelé,4,14,3,12
Kylian Mbappé,2,14,1,12
Sándor Kocsis,1,5,0,11
